2.21.Key,00.02.Site Name,00.04.State,00.03.Region,TIPO,STATUS,Prioridade,TITULO,DATA ,OBS,
2022.000427,PAMW01 - CRLZ03,PA,TNO,,FEITO,,PAMW01 - CRLZ03 (2022.000427),9/25/2023,,
,BAIXAR PL5,,,,FEITO,,BAIXAR PL5 (),9/26/2023,,
2023.003913,SR-BLIC03 (33m)  - SCMW05 (40m),SC,TSL,,FEITO,,SR-BLIC03 (33m)  - SCMW05 (40m) (2023.003913),9/26/2023,,
2022.001407,4G-RHRA01 - DOCT01,SP,TSP,,FEITO,,4G-RHRA01 - DOCT01 (2022.001407),9/26/2023,53-57,
2023.003206,CPAV01 (27m)  - CPSA01 (39m),SP,TSP,,FEITO,,CPAV01 (27m)  - CPSA01 (39m) (2023.003206),9/27/2023,27 - 39,
2022.000972,CDAI01 - CDMO01,,,,FEITO,,CDAI01 - CDMO01 (2022.000972),,62-37,
2022.002397,TBLMW01 - NRNR00,CE,TNE,,TROCAR ALTURA,,TBLMW01 - NRNR00 (2022.002397),9/28/2023,,
2022.002781,4G-MNSCH4 - MNSC37,AM,TNO,,FEITO,,4G-MNSCH4 - MNSC37 (2022.002781),9/29/2023,,
,RHRA01,,,,,,,,,
2022.002776,4G-MNSCI8 - MNSC13,AM,TNO,,FEITO,,4G-MNSCI8 - MNSC13 (2022.002776),10/2/2023,,
2023.003058,7NLPNBS01,,,,FEITO,,66M,,,
2023.003575,SR-BHBHJ6 - BHBH01,CE,TNE,,FEITO,,SR-BHBHJ6 - BHBH01 (2023.003575),10/3/2023,58 - 20,
2023.003401,,,,,,,,,,
